,data,first,second
10,"[2, 6, 4, 1, 3, 5, 3, 5, 6, 1, 5, 0, 6, 0, 3, 4, 3, 1, 6, 4]","[2, 6, 4, 1, 3, 5, 3, 5, 6, 1]","[5, 0, 6, 0, 3, 4, 3, 1, 6, 4]"
11,"[4, 3, 4, 3, 6, 0, 5, 1, 0, 3, 2, 4, 6, 2, 6, 6, 1, 3, 4, 6]","[4, 3, 4, 3, 6, 0, 5, 1, 0, 3]","[2, 4, 6, 2, 6, 6, 1, 3, 4, 6]"
12,"[6, 2, 3, 5, 2, 1, 1, 0, 3, 6, 4, 6, 3, 4, 4, 6, 5, 2, 6, 0]","[6, 2, 3, 5, 2, 1, 1, 0, 3, 6]","[4, 6, 3, 4, 4, 6, 5, 2, 6, 0]"
13,"[1, 2, 3, 0, 4, 5, 0, 4, 6, 0, 6, 2, 1, 4, 2, 5, 5, 5, 3, 4]","[1, 2, 3, 0, 4, 5, 0, 4, 6, 0]","[6, 2, 1, 4, 2, 5, 5, 5, 3, 4]"
14,"[5, 1, 3, 0, 2, 4, 1, 4, 5, 1, 5, 5, 4, 1, 6, 5, 6, 0, 1, 4]","[5, 1, 3, 0, 2, 4, 1, 4, 5, 1]","[5, 5, 4, 1, 6, 5, 6, 0, 1, 4]"
15,"[3, 2, 0, 4, 6, 6, 1, 0, 1, 2, 1, 2, 2, 6, 6, 5, 3, 2, 1, 2]","[3, 2, 0, 4, 6, 6, 1, 0, 1, 2]","[1, 2, 2, 6, 6, 5, 3, 2, 1, 2]"
16,"[4, 2, 4, 2, 2, 5, 1, 0, 4, 2, 0, 0, 4, 5, 5, 3, 3, 3, 0, 2]","[4, 2, 4, 2, 2, 5, 1, 0, 4, 2]","[0, 0, 4, 5, 5, 3, 3, 3, 0, 2]"
17,"[1, 0, 1, 0, 5, 4, 4, 1, 1, 3, 3, 0, 1, 3, 0, 4, 1, 3, 5, 5]","[1, 0, 1, 0, 5, 4, 4, 1, 1, 3]","[3, 0, 1, 3, 0, 4, 1, 3, 5, 5]"
18,"[6, 3, 5, 5, 2, 2, 4, 0, 3, 6, 2, 2, 2, 6, 6, 5, 1, 0, 0, 2]","[6, 3, 5, 5, 2, 2, 4, 0, 3, 6]","[2, 2, 2, 6, 6, 5, 1, 0, 0, 2]"
19,"[4, 1, 1, 4, 1, 4, 3, 1, 0, 5, 3, 4, 2, 1, 3, 0, 1, 4, 0, 2]","[4, 1, 1, 4, 1, 4, 3, 1, 0, 5]","[3, 4, 2, 1, 3, 0, 1, 4, 0, 2]"
20,"[5, 2, 4, 0, 3, 3, 2, 5, 4, 3, 1, 4, 6, 2, 2, 0, 4, 1, 5, 4]","[5, 2, 4, 0, 3, 3, 2, 5, 4, 3]","[1, 4, 6, 2, 2, 0, 4, 1, 5, 4]"
21,"[4, 5, 6, 6, 1, 5, 2, 1, 0, 5, 6, 5, 3, 2, 3, 1, 0, 4, 4, 6]","[4, 5, 6, 6, 1, 5, 2, 1, 0, 5]","[6, 5, 3, 2, 3, 1, 0, 4, 4, 6]"
22,"[6, 6, 2, 4, 6, 2, 5, 0, 0, 5, 2, 1, 6, 6, 3, 1, 3, 0, 0, 0]","[6, 6, 2, 4, 6, 2, 5, 0, 0, 5]","[2, 1, 6, 6, 3, 1, 3, 0, 0, 0]"
23,"[1, 5, 4, 2, 6, 3, 3, 5, 3, 3, 6, 6, 4, 5, 4, 4, 3, 4, 0, 1]","[1, 5, 4, 2, 6, 3, 3, 5, 3, 3]","[6, 6, 4, 5, 4, 4, 3, 4, 0, 1]"
24,"[6, 4, 6, 4, 6, 1, 6, 4, 1, 5, 0, 6, 5, 2, 6, 4, 2, 1, 2, 0]","[6, 4, 6, 4, 6, 1, 6, 4, 1, 5]","[0, 6, 5, 2, 6, 4, 2, 1, 2, 0]"
25,"[0, 2, 3, 2, 3, 6, 1, 1, 3, 3, 2, 5, 6, 0, 5, 5, 1, 5, 3, 6]","[0, 2, 3, 2, 3, 6, 1, 1, 3, 3]","[2, 5, 6, 0, 5, 5, 1, 5, 3, 6]"
26,"[5, 4, 3, 6, 3, 3, 3, 0, 3, 0, 3, 3, 4, 0, 3, 0, 0, 0, 1, 3]","[5, 4, 3, 6, 3, 3, 3, 0, 3, 0]","[3, 3, 4, 0, 3, 0, 0, 0, 1, 3]"
27,"[6, 5, 3, 0, 1, 5, 4, 1, 4, 0, 5, 5, 4, 5, 2, 5, 2, 5, 2, 5]","[6, 5, 3, 0, 1, 5, 4, 1, 4, 0]","[5, 5, 4, 5, 2, 5, 2, 5, 2, 5]"
28,"[5, 5, 3, 4, 1, 1, 6, 2, 2, 1, 3, 5, 5, 5, 0, 3, 4, 1, 6, 2]","[5, 5, 3, 4, 1, 1, 6, 2, 2, 1]","[3, 5, 5, 5, 0, 3, 4, 1, 6, 2]"
29,"[0, 6, 2, 6, 5, 1, 3, 4, 0, 2, 4, 1, 6, 2, 1, 2, 4, 0, 2, 3]","[0, 6, 2, 6, 5, 1, 3, 4, 0, 2]","[4, 1, 6, 2, 1, 2, 4, 0, 2, 3]"
30,"[4, 6, 2, 5, 5, 2, 0, 2, 4, 4, 4, 5, 3, 6, 2, 2, 5, 4, 5, 1]","[4, 6, 2, 5, 5, 2, 0, 2, 4, 4]","[4, 5, 3, 6, 2, 2, 5, 4, 5, 1]"
31,"[2, 6, 3, 1, 2, 0, 2, 5, 6, 2, 1, 5, 1, 4, 1, 5, 1, 1, 5, 6]","[2, 6, 3, 1, 2, 0, 2, 5, 6, 2]","[1, 5, 1, 4, 1, 5, 1, 1, 5, 6]"
32,"[3, 4, 4, 6, 1, 5, 3, 6, 4, 0, 6, 3, 1, 2, 4, 2, 2, 6, 4, 6]","[3, 4, 4, 6, 1, 5, 3, 6, 4, 0]","[6, 3, 1, 2, 4, 2, 2, 6, 4, 6]"
33,"[4, 1, 0, 3, 1, 6, 3, 3, 1, 1, 6, 1, 2, 4, 4, 5, 6, 6, 4, 6]","[4, 1, 0, 3, 1, 6, 3, 3, 1, 1]","[6, 1, 2, 4, 4, 5, 6, 6, 4, 6]"
34,"[6, 1, 5, 2, 6, 5, 4, 3, 2, 2, 5, 6, 1, 2, 0, 4, 6, 3, 3, 6]","[6, 1, 5, 2, 6, 5, 4, 3, 2, 2]","[5, 6, 1, 2, 0, 4, 6, 3, 3, 6]"
35,"[5, 2, 1, 0, 2, 5, 5, 5, 5, 0, 5, 4, 1, 2, 3, 5, 6, 1, 0, 1]","[5, 2, 1, 0, 2, 5, 5, 5, 5, 0]","[5, 4, 1, 2, 3, 5, 6, 1, 0, 1]"
36,"[6, 6, 4, 3, 5, 2, 3, 3, 2, 4, 4, 4, 5, 4, 2, 5, 1, 4, 6, 4]","[6, 6, 4, 3, 5, 2, 3, 3, 2, 4]","[4, 4, 5, 4, 2, 5, 1, 4, 6, 4]"
37,"[3, 1, 1, 2, 2, 2, 1, 4, 3, 0, 0, 1, 6, 3, 6, 6, 0, 4, 5, 2]","[3, 1, 1, 2, 2, 2, 1, 4, 3, 0]","[0, 1, 6, 3, 6, 6, 0, 4, 5, 2]"
38,"[3, 4, 5, 2, 2, 5, 1, 6, 4, 3, 6, 1, 2, 6, 4, 1, 5, 6, 5, 6]","[3, 4, 5, 2, 2, 5, 1, 6, 4, 3]","[6, 1, 2, 6, 4, 1, 5, 6, 5, 6]"
39,"[6, 2, 3, 5, 5, 5, 6, 5, 4, 6, 6, 4, 1, 2, 6, 6, 5, 4, 3, 6]","[6, 2, 3, 5, 5, 5, 6, 5, 4, 6]","[6, 4, 1, 2, 6, 6, 5, 4, 3, 6]"
40,"[0, 6, 5, 4, 2, 3, 0, 2, 0, 2, 0, 1, 0, 6, 0, 1, 3, 2, 5, 5]","[0, 6, 5, 4, 2, 3, 0, 2, 0, 2]","[0, 1, 0, 6, 0, 1, 3, 2, 5, 5]"
41,"[2, 3, 0, 2, 3, 3, 0, 5, 0, 3, 4, 5, 3, 5, 3, 4, 6, 4, 5, 3]","[2, 3, 0, 2, 3, 3, 0, 5, 0, 3]","[4, 5, 3, 5, 3, 4, 6, 4, 5, 3]"
42,"[1, 0, 6, 1, 5, 3, 0, 4, 0, 4, 0, 1, 2, 0, 1, 5, 3, 4, 1, 4]","[1, 0, 6, 1, 5, 3, 0, 4, 0, 4]","[0, 1, 2, 0, 1, 5, 3, 4, 1, 4]"
43,"[3, 5, 0, 6, 1, 2, 0, 2, 1, 0, 3, 0, 6, 6, 5, 2, 1, 3, 0, 1]","[3, 5, 0, 6, 1, 2, 0, 2, 1, 0]","[3, 0, 6, 6, 5, 2, 1, 3, 0, 1]"
44,"[1, 6, 1, 1, 4, 1, 4, 1, 2, 3, 6, 0, 4, 5, 6, 4, 1, 4, 1, 2]","[1, 6, 1, 1, 4, 1, 4, 1, 2, 3]","[6, 0, 4, 5, 6, 4, 1, 4, 1, 2]"
45,"[5, 6, 1, 6, 6, 5, 3, 6, 1, 0, 4, 3, 3, 3, 0, 3, 5, 6, 0, 2]","[5, 6, 1, 6, 6, 5, 3, 6, 1, 0]","[4, 3, 3, 3, 0, 3, 5, 6, 0, 2]"
46,"[4, 3, 4, 6, 5, 5, 1, 5, 5, 1, 1, 4, 6, 4, 5, 1, 5, 2, 6, 3]","[4, 3, 4, 6, 5, 5, 1, 5, 5, 1]","[1, 4, 6, 4, 5, 1, 5, 2, 6, 3]"
47,"[0, 6, 1, 4, 1, 3, 5, 0, 3, 4, 2, 5, 2, 0, 4, 2, 2, 5, 5, 3]","[0, 6, 1, 4, 1, 3, 5, 0, 3, 4]","[2, 5, 2, 0, 4, 2, 2, 5, 5, 3]"
48,"[4, 3, 4, 3, 1, 1, 1, 4, 5, 1, 5, 2, 0, 1, 6, 3, 4, 1, 2, 3]","[4, 3, 4, 3, 1, 1, 1, 4, 5, 1]","[5, 2, 0, 1, 6, 3, 4, 1, 2, 3]"
49,"[3, 2, 2, 1, 4, 3, 5, 6, 4, 5, 5, 3, 5, 0, 2, 4, 5, 4, 0, 4]","[3, 2, 2, 1, 4, 3, 5, 6, 4, 5]","[5, 3, 5, 0, 2, 4, 5, 4, 0, 4]"
50,"[4, 3, 1, 3, 4, 1, 3, 0, 0, 2, 1, 4, 0, 2, 3, 6, 2, 6, 6, 6]","[4, 3, 1, 3, 4, 1, 3, 0, 0, 2]","[1, 4, 0, 2, 3, 6, 2, 6, 6, 6]"
51,"[2, 4, 5, 5, 0, 6, 5, 4, 1, 1, 1, 1, 1, 4, 0, 1, 0, 4, 1, 5]","[2, 4, 5, 5, 0, 6, 5, 4, 1, 1]","[1, 1, 1, 4, 0, 1, 0, 4, 1, 5]"
52,"[3, 3, 6, 3, 4, 2, 3, 1, 1, 6, 3, 3, 4, 5, 4, 1, 4, 2, 2, 6]","[3, 3, 6, 3, 4, 2, 3, 1, 1, 6]","[3, 3, 4, 5, 4, 1, 4, 2, 2, 6]"
53,"[3, 6, 4, 4, 5, 6, 3, 1, 3, 5, 1, 2, 0, 4, 0, 3, 4, 5, 1, 2]","[3, 6, 4, 4, 5, 6, 3, 1, 3, 5]","[1, 2, 0, 4, 0, 3, 4, 5, 1, 2]"
54,"[2, 6, 3, 3, 2, 1, 2, 3, 1, 5, 0, 5, 2, 5, 4, 3, 5, 2, 6, 5]","[2, 6, 3, 3, 2, 1, 2, 3, 1, 5]","[0, 5, 2, 5, 4, 3, 5, 2, 6, 5]"
55,"[3, 2, 3, 0, 3, 1, 5, 1, 0, 2, 2, 4, 5, 2, 0, 5, 2, 5, 5, 4]","[3, 2, 3, 0, 3, 1, 5, 1, 0, 2]","[2, 4, 5, 2, 0, 5, 2, 5, 5, 4]"
56,"[5, 2, 6, 5, 0, 4, 3, 2, 6, 4, 3, 6, 6, 2, 4, 6, 4, 0, 0, 6]","[5, 2, 6, 5, 0, 4, 3, 2, 6, 4]","[3, 6, 6, 2, 4, 6, 4, 0, 0, 6]"
57,"[4, 5, 6, 3, 2, 0, 6, 5, 4, 4, 2, 5, 0, 4, 1, 4, 6, 2, 6, 1]","[4, 5, 6, 3, 2, 0, 6, 5, 4, 4]","[2, 5, 0, 4, 1, 4, 6, 2, 6, 1]"
58,"[3, 2, 4, 1, 0, 4, 5, 5, 1, 1, 0, 2, 0, 5, 2, 5, 3, 4, 5, 5]","[3, 2, 4, 1, 0, 4, 5, 5, 1, 1]","[0, 2, 0, 5, 2, 5, 3, 4, 5, 5]"
59,"[2, 2, 4, 2, 4, 5, 1, 0, 3, 0, 5, 6, 6, 0, 6, 2, 4, 2, 1, 6]","[2, 2, 4, 2, 4, 5, 1, 0, 3, 0]","[5, 6, 6, 0, 6, 2, 4, 2, 1, 6]"
60,"[1, 5, 3, 1, 2, 2, 3, 1, 6, 2, 3, 2, 5, 0, 6, 4, 3, 1, 4, 3]","[1, 5, 3, 1, 2, 2, 3, 1, 6, 2]","[3, 2, 5, 0, 6, 4, 3, 1, 4, 3]"
61,"[2, 3, 6, 5, 1, 0, 1, 4, 5, 6, 4, 6, 2, 5, 2, 1, 3, 4, 0, 1]","[2, 3, 6, 5, 1, 0, 1, 4, 5, 6]","[4, 6, 2, 5, 2, 1, 3, 4, 0, 1]"
62,"[4, 1, 1, 3, 3, 6, 2, 0, 6, 4, 4, 6, 5, 1, 5, 5, 6, 1, 3, 5]","[4, 1, 1, 3, 3, 6, 2, 0, 6, 4]","[4, 6, 5, 1, 5, 5, 6, 1, 3, 5]"
63,"[3, 6, 2, 5, 5, 6, 0, 0, 4, 1, 1, 4, 5, 3, 3, 4, 3, 0, 3, 5]","[3, 6, 2, 5, 5, 6, 0, 0, 4, 1]","[1, 4, 5, 3, 3, 4, 3, 0, 3, 5]"
64,"[5, 2, 3, 2, 5, 5, 2, 2, 5, 2, 0, 1, 3, 6, 2, 4, 2, 6, 4, 2]","[5, 2, 3, 2, 5, 5, 2, 2, 5, 2]","[0, 1, 3, 6, 2, 4, 2, 6, 4, 2]"
65,"[1, 0, 5, 6, 1, 4, 3, 1, 2, 3, 0, 2, 1, 5, 2, 3, 2, 5, 5, 2]","[1, 0, 5, 6, 1, 4, 3, 1, 2, 3]","[0, 2, 1, 5, 2, 3, 2, 5, 5, 2]"
66,"[3, 4, 4, 5, 4, 0, 6, 6, 0, 1, 1, 2, 0, 6, 4, 2, 2, 0, 3, 0]","[3, 4, 4, 5, 4, 0, 6, 6, 0, 1]","[1, 2, 0, 6, 4, 2, 2, 0, 3, 0]"
67,"[3, 2, 3, 1, 5, 6, 4, 2, 2, 6, 5, 3, 6, 4, 3, 3, 6, 5, 4, 3]","[3, 2, 3, 1, 5, 6, 4, 2, 2, 6]","[5, 3, 6, 4, 3, 3, 6, 5, 4, 3]"
68,"[2, 6, 0, 0, 0, 2, 3, 0, 2, 4, 5, 0, 0, 6, 4, 4, 6, 0, 6, 3]","[2, 6, 0, 0, 0, 2, 3, 0, 2, 4]","[5, 0, 0, 6, 4, 4, 6, 0, 6, 3]"
69,"[5, 4, 1, 5, 2, 4, 4, 1, 0, 5, 3, 5, 5, 1, 0, 0, 1, 1, 5, 3]","[5, 4, 1, 5, 2, 4, 4, 1, 0, 5]","[3, 5, 5, 1, 0, 0, 1, 1, 5, 3]"
70,"[3, 5, 0, 2, 1, 4, 4, 5, 1, 1, 2, 2, 5, 1, 0, 1, 5, 2, 1, 5]","[3, 5, 0, 2, 1, 4, 4, 5, 1, 1]","[2, 2, 5, 1, 0, 1, 5, 2, 1, 5]"
71,"[5, 5, 4, 3, 2, 0, 6, 3, 5, 0, 5, 2, 1, 6, 0, 0, 0, 0, 2, 3]","[5, 5, 4, 3, 2, 0, 6, 3, 5, 0]","[5, 2, 1, 6, 0, 0, 0, 0, 2, 3]"
72,"[6, 3, 2, 5, 4, 5, 4, 3, 5, 2, 4, 0, 5, 1, 5, 1, 3, 4, 2, 3]","[6, 3, 2, 5, 4, 5, 4, 3, 5, 2]","[4, 0, 5, 1, 5, 1, 3, 4, 2, 3]"
73,"[4, 5, 3, 5, 1, 1, 5, 5, 0, 0, 2, 6, 3, 4, 0, 3, 4, 6, 1, 6]","[4, 5, 3, 5, 1, 1, 5, 5, 0, 0]","[2, 6, 3, 4, 0, 3, 4, 6, 1, 6]"
74,"[6, 6, 2, 1, 2, 5, 3, 3, 6, 0, 0, 6, 1, 1, 5, 4, 6, 2, 6, 4]","[6, 6, 2, 1, 2, 5, 3, 3, 6, 0]","[0, 6, 1, 1, 5, 4, 6, 2, 6, 4]"
75,"[0, 0, 0, 5, 2, 2, 4, 1, 6, 3, 2, 6, 0, 0, 4, 3, 5, 0, 2, 1]","[0, 0, 0, 5, 2, 2, 4, 1, 6, 3]","[2, 6, 0, 0, 4, 3, 5, 0, 2, 1]"
76,"[4, 6, 3, 6, 4, 1, 3, 6, 1, 4, 1, 1, 6, 3, 3, 2, 5, 2, 0, 1]","[4, 6, 3, 6, 4, 1, 3, 6, 1, 4]","[1, 1, 6, 3, 3, 2, 5, 2, 0, 1]"
77,"[3, 6, 2, 0, 2, 4, 4, 6, 2, 5, 0, 0, 1, 2, 1, 1, 3, 0, 5, 1]","[3, 6, 2, 0, 2, 4, 4, 6, 2, 5]","[0, 0, 1, 2, 1, 1, 3, 0, 5, 1]"
78,"[6, 2, 2, 2, 1, 1, 1, 5, 1, 4, 0, 3, 5, 0, 4, 4, 4, 3, 0, 6]","[6, 2, 2, 2, 1, 1, 1, 5, 1, 4]","[0, 3, 5, 0, 4, 4, 4, 3, 0, 6]"
79,"[3, 0, 3, 2, 6, 2, 6, 3, 2, 6, 5, 0, 0, 5, 5, 3, 2, 2, 3, 6]","[3, 0, 3, 2, 6, 2, 6, 3, 2, 6]","[5, 0, 0, 5, 5, 3, 2, 2, 3, 6]"
80,"[5, 5, 1, 1, 0, 1, 6, 4, 5, 2, 6, 3, 3, 6, 0, 3, 4, 0, 2, 5]","[5, 5, 1, 1, 0, 1, 6, 4, 5, 2]","[6, 3, 3, 6, 0, 3, 4, 0, 2, 5]"
81,"[6, 0, 4, 2, 0, 0, 3, 1, 3, 3, 6, 5, 2, 1, 4, 4, 0, 5, 6, 2]","[6, 0, 4, 2, 0, 0, 3, 1, 3, 3]","[6, 5, 2, 1, 4, 4, 0, 5, 6, 2]"
82,"[6, 0, 4, 0, 2, 4, 6, 4, 5, 4, 6, 3, 0, 4, 2, 6, 0, 3, 3, 3]","[6, 0, 4, 0, 2, 4, 6, 4, 5, 4]","[6, 3, 0, 4, 2, 6, 0, 3, 3, 3]"
83,"[1, 6, 1, 2, 2, 5, 0, 5, 0, 5, 1, 5, 6, 5, 2, 6, 1, 3, 5, 1]","[1, 6, 1, 2, 2, 5, 0, 5, 0, 5]","[1, 5, 6, 5, 2, 6, 1, 3, 5, 1]"
84,"[5, 5, 0, 3, 6, 3, 6, 0, 6, 3, 3, 2, 0, 2, 6, 3, 5, 4, 6, 4]","[5, 5, 0, 3, 6, 3, 6, 0, 6, 3]","[3, 2, 0, 2, 6, 3, 5, 4, 6, 4]"
85,"[5, 6, 1, 0, 2, 2, 3, 3, 2, 6, 6, 0, 5, 0, 6, 5, 3, 4, 4, 1]","[5, 6, 1, 0, 2, 2, 3, 3, 2, 6]","[6, 0, 5, 0, 6, 5, 3, 4, 4, 1]"
86,"[6, 4, 6, 3, 3, 2, 3, 4, 2, 0, 6, 2, 3, 3, 6, 4, 2, 4, 1, 4]","[6, 4, 6, 3, 3, 2, 3, 4, 2, 0]","[6, 2, 3, 3, 6, 4, 2, 4, 1, 4]"
87,"[5, 4, 1, 5, 5, 5, 1, 4, 0, 2, 1, 6, 6, 5, 3, 4, 6, 0, 5, 3]","[5, 4, 1, 5, 5, 5, 1, 4, 0, 2]","[1, 6, 6, 5, 3, 4, 6, 0, 5, 3]"
88,"[4, 0, 6, 4, 6, 0, 6, 6, 0, 0, 5, 0, 6, 4, 4, 3, 0, 3, 0, 2]","[4, 0, 6, 4, 6, 0, 6, 6, 0, 0]","[5, 0, 6, 4, 4, 3, 0, 3, 0, 2]"
89,"[0, 5, 4, 4, 1, 0, 0, 4, 4, 4, 0, 6, 0, 4, 3, 2, 6, 2, 3, 1]","[0, 5, 4, 4, 1, 0, 0, 4, 4, 4]","[0, 6, 0, 4, 3, 2, 6, 2, 3, 1]"
90,"[1, 5, 2, 3, 3, 6, 1, 2, 4, 1, 6, 3, 4, 4, 4, 0, 2, 2, 3, 5]","[1, 5, 2, 3, 3, 6, 1, 2, 4, 1]","[6, 3, 4, 4, 4, 0, 2, 2, 3, 5]"
91,"[5, 0, 1, 2, 2, 5, 1, 4, 2, 0, 1, 4, 6, 4, 2, 4, 3, 6, 5, 0]","[5, 0, 1, 2, 2, 5, 1, 4, 2, 0]","[1, 4, 6, 4, 2, 4, 3, 6, 5, 0]"
92,"[6, 4, 4, 2, 2, 4, 5, 4, 5, 5, 0, 3, 2, 4, 0, 2, 5, 3, 4, 6]","[6, 4, 4, 2, 2, 4, 5, 4, 5, 5]","[0, 3, 2, 4, 0, 2, 5, 3, 4, 6]"
93,"[4, 3, 0, 5, 3, 0, 0, 2, 5, 5, 3, 6, 0, 1, 0, 0, 2, 3, 4, 6]","[4, 3, 0, 5, 3, 0, 0, 2, 5, 5]","[3, 6, 0, 1, 0, 0, 2, 3, 4, 6]"
94,"[5, 2, 2, 6, 0, 3, 6, 6, 4, 5, 0, 6, 3, 6, 3, 2, 2, 1, 2, 1]","[5, 2, 2, 6, 0, 3, 6, 6, 4, 5]","[0, 6, 3, 6, 3, 2, 2, 1, 2, 1]"
95,"[0, 6, 0, 2, 6, 5, 4, 3, 2, 5, 2, 4, 1, 6, 1, 6, 3, 5, 5, 0]","[0, 6, 0, 2, 6, 5, 4, 3, 2, 5]","[2, 4, 1, 6, 1, 6, 3, 5, 5, 0]"
96,"[3, 0, 6, 6, 5, 0, 0, 6, 5, 4, 5, 4, 4, 6, 2, 6, 1, 5, 4, 0]","[3, 0, 6, 6, 5, 0, 0, 6, 5, 4]","[5, 4, 4, 6, 2, 6, 1, 5, 4, 0]"
97,"[0, 4, 5, 3, 4, 0, 0, 3, 2, 1, 2, 3, 4, 5, 5, 6, 6, 6, 4, 3]","[0, 4, 5, 3, 4, 0, 0, 3, 2, 1]","[2, 3, 4, 5, 5, 6, 6, 6, 4, 3]"
98,"[5, 6, 3, 1, 4, 2, 4, 4, 4, 0, 5, 4, 1, 2, 2, 5, 4, 6, 2, 5]","[5, 6, 3, 1, 4, 2, 4, 4, 4, 0]","[5, 4, 1, 2, 2, 5, 4, 6, 2, 5]"
99,"[6, 0, 0, 4, 5, 1, 6, 0, 4, 3, 2, 5, 2, 0, 5, 6, 2, 3, 4, 2]","[6, 0, 0, 4, 5, 1, 6, 0, 4, 3]","[2, 5, 2, 0, 5, 6, 2, 3, 4, 2]"
100,"[6, 3, 4, 3, 2, 3, 2, 0, 1, 2, 1, 5, 5, 5, 2, 6, 6, 2, 2, 0]","[6, 3, 4, 3, 2, 3, 2, 0, 1, 2]","[1, 5, 5, 5, 2, 6, 6, 2, 2, 0]"
101,"[5, 5, 0, 1, 3, 2, 2, 2, 2, 0, 2, 3, 0, 1, 5, 4, 2, 5, 2, 1]","[5, 5, 0, 1, 3, 2, 2, 2, 2, 0]","[2, 3, 0, 1, 5, 4, 2, 5, 2, 1]"
102,"[4, 2, 0, 3, 4, 2, 3, 1, 2, 6, 1, 0, 3, 4, 1, 0, 6, 6, 1, 4]","[4, 2, 0, 3, 4, 2, 3, 1, 2, 6]","[1, 0, 3, 4, 1, 0, 6, 6, 1, 4]"
103,"[6, 3, 1, 0, 3, 0, 0, 3, 3, 6, 4, 1, 0, 5, 1, 4, 5, 6, 2, 5]","[6, 3, 1, 0, 3, 0, 0, 3, 3, 6]","[4, 1, 0, 5, 1, 4, 5, 6, 2, 5]"
104,"[0, 2, 3, 4, 5, 4, 3, 2, 0, 6, 2, 2, 6, 3, 0, 2, 0, 1, 5, 6]","[0, 2, 3, 4, 5, 4, 3, 2, 0, 6]","[2, 2, 6, 3, 0, 2, 0, 1, 5, 6]"
105,"[3, 6, 1, 5, 2, 5, 3, 4, 3, 3, 1, 1, 1, 1, 4, 6, 3, 6, 6, 4]","[3, 6, 1, 5, 2, 5, 3, 4, 3, 3]","[1, 1, 1, 1, 4, 6, 3, 6, 6, 4]"
106,"[4, 2, 3, 0, 0, 3, 3, 4, 0, 5, 0, 3, 0, 6, 0, 3, 0, 2, 4, 1]","[4, 2, 3, 0, 0, 3, 3, 4, 0, 5]","[0, 3, 0, 6, 0, 3, 0, 2, 4, 1]"
107,"[2, 6, 0, 6, 0, 2, 2, 5, 0, 2, 3, 5, 4, 3, 5, 6, 6, 0, 0, 3]","[2, 6, 0, 6, 0, 2, 2, 5, 0, 2]","[3, 5, 4, 3, 5, 6, 6, 0, 0, 3]"
108,"[2, 1, 5, 4, 5, 5, 5, 3, 2, 0, 0, 1, 2, 2, 6, 1, 5, 1, 0, 0]","[2, 1, 5, 4, 5, 5, 5, 3, 2, 0]","[0, 1, 2, 2, 6, 1, 5, 1, 0, 0]"
109,"[1, 4, 0, 6, 6, 6, 0, 6, 0, 2, 2, 2, 2, 6, 1, 6, 0, 0, 0, 5]","[1, 4, 0, 6, 6, 6, 0, 6, 0, 2]","[2, 2, 2, 6, 1, 6, 0, 0, 0, 5]"
